Player_Name,runs_conceded,balls
PJ Cummins,167,124
Iqbal Abdulla,174,124
Harmeet Singh,178,135
S Kaul,179,120
SK Raina,192,135
M Kartik,207,155
SB Jakati,209,131
Mustafizur Rahman,212,168
MS Gony,213,124
SW Tait,216,159
A Kumble,217,174
PJ Sangwan,222,139
DL Vettori,223,166
AD Mathews,225,155
CH Gayle,229,156
R Sharma,230,156
NM Coulter-Nile,234,146
TA Boult,235,131
Anureet Singh,243,137
S Aravind,244,154
YS Chahal,250,161
Shakib Al Hasan,253,175
S Sreesanth,256,141
Mohammed Shami,260,149
HV Patel,265,147
MA Starc,265,210
A Singh,272,162
AD Russell,281,158
WD Parnell,289,214
TG Southee,294,171
DE Bollinger,297,242
AB Agarkar,311,191
P Awana,312,182
DP Nannes,313,218
DT Christian,316,180
SK Warne,327,223
AR Patel,334,226
R Bhatia,336,236
Azhar Mahmood,339,214
Imran Tahir,342,224
Harbhajan Singh,348,258
VR Aaron,360,204
M Muralitharan,380,284
KK Cooper,402,274
MG Johnson,419,273
RJ Harris,434,281
NLTC Perera,439,238
PP Ojha,458,297
PP Chawla,460,326
JD Unadkat,462,283
B Lee,465,328
SK Trivedi,465,315
R Ashwin,479,379
DS Kulkarni,483,329
MJ McClenaghan,484,333
Sandeep Sharma,509,294
JA Morkel,512,338
KA Pollard,518,310
CH Morris,529,381
MM Patel,542,314
RA Jadeja,569,396
M Morkel,603,402
JH Kallis,617,371
I Sharma,631,358
JJ Bumrah,688,438
A Mishra,707,461
MM Sharma,713,454
AB Dinda,767,428
IK Pathan,776,505
SP Narine,790,664
A Nehra,794,546
JP Faulkner,802,493
DW Steyn,806,624
RP Singh,831,556
L Balaji,877,523
SR Watson,927,611
Z Khan,946,620
B Kumar,1006,715
UT Yadav,1013,631
P Kumar,1058,624
R Vinay Kumar,1137,673
SL Malinga,1300,1050
DJ Bravo,1300,885
